pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
toneljo01,John Tonelli,LW,1957-03-23,Left,6-1,185,200,Milton,Ontario,ca
tonindo01,Dominic Toninato,C,1994-03-09,Left,6-2,188,200,Duluth,Minnesota,us
tooketi01,Tim Tookey,C,1960-08-29,Left,5-11,180,185,Edmonton,Alberta,ca
toomese01,Sean Toomey,LW,1965-06-27,Left,6-1,185,200,,,
tootojo01,Jordin Tootoo,RW,1983-02-02,Right,5-9,175,195,Churchill,Manitoba,ca
topolse01,Sergei Topol,C,1985-02-15,,,,,,,
topolcr01,Craig Topolnisky,D,1957-10-08,Right,5-11,180,185,Edmonton,Alberta,ca
toporsh01,Shayne Toporowski,RW,1975-08-06,Right,6-2,188,216,Paddockwood,Saskatchewan,ca
toppaje01,Jerry Toppazzini,RW,1931-07-29,Right,6-0,183,180,,,
toppaze01,Zellio Toppazzini,RW,1930-01-05,Right,5-11,180,180,,,
toppibr01,Brad Topping,G,1984-06-05,,,,,,,
torchmi01,Mike Torchia,G,1972-02-23,,5-11,180,215,Toronto,Ontario,ca
tordjjo01,Josh Tordjman,G,1985-01-11,,6-1,185,156,Montreal,Quebec,ca
torgapa01,Pavel Torgaev,LW,1966-01-25,Left,6-1,185,187,Gorky,USSR,su
torgeda01,Daniel Torgersson,LW,2002-01-26,Left,6-2,188,199,Hono,Sweden,se
torkkja01,Jari Torkki,LW,1965-08-11,Left,5-11,180,185,Rauma,Finland,fi
tormaan01,Antti Tormanen,RW,1970-09-19,Left,6-1,185,198,Espoo,Finland,fi
toropal01,Alexey Toropchenko,RW,1999-06-25,Left,6-3,190,187,,,
torpni01,Nichlas Torp,D,1989-04-10,,,,,,,
torquza01,Zack Torquato,C,1989-06-08,,,,,,,
torrera01,Raffi Torres,LW,1981-10-08,Left,6-0,183,210,Toronto,Ontario,ca
toskave01,Vesa Toskala,G,1977-05-20,,5-10,178,195,Tampere,Finland,fi
touhebi01,Bill Touhey,LW,1906-03-23,Left,5-9,175,155,Ottawa,Ontario,ca
toupija01,Jacques Toupin,RW,1910-11-10,Right,5-7,170,155,,,
townsar01,Art Townsend,D,1905-10-09,Left,5-10,178,185,Souris,Manitoba,ca
townsgr01,Graeme Townshend,RW,1965-10-02,Right,6-2,188,225,Kingston,Jamaica,jm
tracebr01,Brayden Tracey,LW,2001-05-28,Left,6-0,183,177,Calgary,Alberta,ca
tradela01,Larry Trader,D,1963-07-07,Left,6-1,185,180,,,
trainwe01,Wes Trainor,C/LW,1922-09-11,Right,5-8,173,180,,,
trappbo01,Bob Trapp,D,1899-12-16,Left,5-10,178,170,Pembroke,Ontario,ca
trappdo01,Doug Trapp,LW,1965-11-28,Left,6-0,183,180,Balcarres,Saskatchewan,ca
traubpe01,Percy Traub,D,1896-08-23,Left,5-9,175,175,Elmwood,Ontario,ca
travepa01,Patrick Traverse,D,1974-03-14,Left,6-4,193,207,Montreal,Quebec,ca
travida01,Dan Travis,RW,1983-11-26,,,,,,,
trebida01,Dan Trebil,D,1974-04-10,Right,6-3,190,210,Bloomington,Minnesota,us
tredwbr01,Brock Tredway,RW,1959-06-23,Right,6-0,183,180,,,
trefian01,Andrei Trefilov,G,1969-08-31,,6-0,183,190,,,
trembbr01,Brent Tremblay,D,1957-11-01,Left,6-2,188,192,,,
trembda01,David Tremblay,G,1985-08-16,,,,,,,
trembfr01,Francois Tremblay,G,1994-08-29,,,,,,,
trembgi01,Gilles Tremblay,LW,1938-12-17,Left,5-10,178,170,Montmorency,Quebec,ca
trembjc01,J.C. Tremblay,D,1939-01-22,Left,5-11,180,170,Bagotville,Quebec,ca
trembjo01,Jonathan Tremblay,RW,1984-03-03,,,,,,,
trembma01,Marcel Tremblay,RW,1915-07-04,Right,5-11,180,165,,,
trembma02,Mario Tremblay,RW,1956-09-02,Right,6-0,183,185,Montreal,Quebec,ca
trembni02,Nick Tremblay,C,1988-04-05,,,,,,,
trembni01,Nils Tremblay,C,1923-07-26,Right,5-9,175,170,Matane,Quebec,ca
trembvi01,Vincent Tremblay,G,1959-10-21,,6-1,185,180,,,
trembya01,Yannick Tremblay,D,1975-11-15,Right,6-2,188,200,,,
treniya01,Yakov Trenin,C,1997-01-13,Left,6-2,188,201,,,
trepapa01,Pascal Trepanier,D,1973-09-04,Right,6-0,183,210,Gaspe,Quebec,ca
tretivl01,Vladislav Tretiak,G,1952-04-25,,6-1,185,202,Dmitrov,USSR,su
treutni01,Niklas Treutle,G,1991-04-29,,6-1,185,185,Nuremberg,Germany,de
treveto01,Tom Trevelyan,C,1949-04-08,Left,5-10,178,180,Toronto,Ontario,ca
trevica01,Carter Trevisani,D,1982-06-15,,,,,,,
triheha01,Harry Trihey,C,1877-12-25,,,,,Montreal,Quebec,ca
trimpti01,Tim Trimper,LW,1959-09-28,Left,5-9,175,184,Windsor,Ontario,ca
trinebo01,Bogdan Trineyev,RW,2002-03-04,Right,6-3,190,198,,,
trippjo01,John Tripp,RW,1977-05-04,Right,6-2,188,215,Kingston,Ontario,ca
trivico01,Corey Trivino,C,1990-01-12,,,,,,,
trnkapa01,Pavel Trnka,D,1976-07-27,Left,6-2,188,206,Plzen,Czechoslovakia,cs
trochvi01,Vincent Trocheck,C,1993-07-11,Right,5-10,178,186,Pittsburgh,Pennsylvania,us
trognwi01,Willie Trognitz,LW,1953-06-11,Left,6-0,183,205,,,
trojoma01,Matej Trojovsky,RW,1984-10-12,,,,,,,
trolito01,Tomas Troliga,C,1984-04-24,,,,,,,
troocbr01,Branden Troock,RW,1994-03-20,Right,6-2,188,194,Edmonton,Alberta,ca
trooije01,Jerry Trooien,LW,1947-10-10,Left,6-2,188,195,,,
troppco01,Corey Tropp,RW,1989-07-25,Right,6-0,183,186,,,
trotmza01,Zach Trotman,D,1990-08-26,Right,6-3,190,217,Carmel,Indiana,us
trottbr02,Brock Trotter,C,1987-09-18,Right,5-10,178,180,Brandon,Manitoba,ca
trottbr01,Bryan Trottier,C,1956-07-17,Left,5-11,180,195,,,
trottda01,Dave Trottier,LW,1906-06-25,Left,5-10,178,170,Pembroke,Ontario,ca
trottgu01,Guy Trottier,RW,1941-04-01,Right,5-8,173,165,Hull,Quebec,ca
trottro01,Rocky Trottier,RW,1964-04-11,Left,5-11,180,185,Climax,Saskatchewan,ca
troubja01,Jacob Trouba,D,1994-02-26,Right,6-3,190,209,Rochester,Michigan,us
troyji01,Jim Troy,RW,1953-01-21,Right,6-2,188,200,Boston,Massachusetts,us
trubayu01,Yuri Trubachev,C,1983-03-09,,,,,,,
trudeje01,Jean-Guy Trudel,LW,1975-10-18,Left,5-11,180,202,Sudbury,Ontario,ca
trudelo01,Lou Trudel,LW,1912-07-21,Left,5-11,180,167,Salem,Massachusetts,us
trudere01,Rene Trudell,RW,1919-01-31,Right,5-9,175,165,Mariapolis,Manitoba,ca
trueal01,Alexander True,F,1997-07-17,,6-5,196,200,,,
trukhvi01,Viacheslav Trukhno,LW,1987-02-22,,,,,,,
trunema01,Maxim Trunev,RW,1990-09-07,,,,,,,
truscja01,Jacob Truscott,D,2002-04-12,Left,6-0,183,170,,,
tryamni01,Nikita Tryamkin,D,1994-08-30,Left,6-7,201,265,,,
tschadw01,Dwyer Tschantz,RW,1995-03-22,Right,6-4,193,209,Wilmington,Delaware,us
tselini01,Nikos Tselios,D,1979-01-20,Left,6-5,196,226,,,
tsulyni01,Nikolai Tsulygin,D,1975-05-29,Right,6-3,190,210,Ufa,USSR,su
tsygude01,Denis Tsygurov,D,1971-02-26,Left,6-3,190,198,Chelyabinsk,USSR,su
tsyplvl01,Vladimir Tsyplakov,LW,1969-04-18,Left,6-1,185,197,Inta,USSR,su
tuchal01,Alex Tuch,RW,1996-05-10,Right,6-4,193,222,,,
tuchlu01,Luke Tuch,LW,2002-03-07,Left,6-2,188,203,,,
tuckeda01,Darcy Tucker,RW,1975-03-15,Left,5-10,178,178,Castor,Alberta,ca
tuckejo01,John Tucker,C,1964-09-29,Right,6-0,183,200,Windsor,Ontario,ca
tuckete01,Ted Tucker,G,1949-05-07,,5-11,180,165,,,
tuckety01,Tyler Tucker,D,2000-03-01,Left,6-1,185,203,,,
tudinco01,Connie Tudin,C,1917-09-21,Left,5-11,180,170,Ottawa,Ontario,ca
tudorro01,Rob Tudor,RW/C,1956-06-30,Right,5-11,180,188,Cupar,Saskatchewan,ca
tueral01,Allan Tuer,D,1963-07-19,Left,6-0,183,190,,,
tufteri01,Riley Tufte,LW,1998-04-10,Left,,,,,,
tugnuro01,Ron Tugnutt,G,1967-10-22,,5-11,180,160,Scarborough,Ontario,ca
tuhoiha01,Harri Tuhoimaa,,,,,,,,,
tukonla01,Lauri Tukonen,RW,1986-09-01,Right,6-2,188,200,Hyvinkaa,Finland,fi
tullity01,Tyler Tullio,RW,2002-04-05,Right,5-10,178,165,Detroit,Michigan,us
tulupki01,Kirill Tulupov,D,1988-04-23,,,,,,,
tumama01,Martin Tuma,D,1985-09-14,,,,,,,
tumenvi01,Victor Tumenev,,,,,,,,,
tumilgo01,Gordon Tumilson,G,1951-07-17,,5-8,173,160,Winnipeg,Manitoba,ca
tunikev01,Evgeny Tunik,C,1984-11-17,,,,,,,
tuohifr01,Frans Tuohimaa,G,1991-08-19,,6-2,188,191,,,
tuomama01,Marko Tuomainen,RW,1972-04-25,Right,6-3,190,230,Kuopio,Finland,fi
tuomami01,Miikka Tuomainen,LW,1986-05-22,,,,,,,
tuomian01,Antti Tuomisto,D,2001-01-20,Right,6-4,193,193,Pori,Finland,fi
turcoma01,Marty Turco,G,1975-08-13,,5-11,180,184,,,
turcoal02,Alex Turcotte,C,2001-02-26,Left,5-11,180,186,,,
turcoal01,Alfie Turcotte,C,1965-06-05,Left,5-11,180,185,Gary,Indiana,us
turcoda01,Darren Turcotte,C,1968-03-02,Left,6-0,183,182,Boston,Massachusetts,us
turekro01,Roman Turek,G,1970-05-21,,6-3,190,220,Strakonice,Czechoslovakia,cs
turekry01,Ryan Turek,C,1987-09-22,,,,,,,
turgedo01,Dominic Turgeon,C,1996-02-25,Left,6-2,188,199,,,
turgepi01,Pierre Turgeon,C,1969-08-28,Left,6-1,185,199,Rouyn,Quebec,ca
turgesy01,Sylvain Turgeon,LW,1965-01-17,Left,6-0,183,200,Noranda,Quebec,ca
turkiji01,Jim Turkiewicz,D,1955-04-13,Left,5-10,178,185,Peterborough,Ontario,ca
turligo01,Gord Turlik,LW/C,1939-09-16,Left,6-1,185,170,,,
turnbfr01,Frank Turnbull,G,1953-01-13,,5-8,173,155,Trenton,Ontario,ca
turnbia01,Ian Turnbull,D,1953-12-22,Left,6-0,183,200,Montreal,Quebec,ca
turnbjo01,Joshua Turnbull,C,1988-07-12,,,,,,,
turnbpe01,Perry Turnbull,C,1959-03-09,Left,6-2,188,200,Bentley,Alberta,ca
turnbra01,Randy Turnbull,D,1962-02-07,Right,6-0,183,185,Bentley,Alberta,ca
turnbtr01,Travis Turnbull,C,1986-07-07,Right,6-0,183,197,Chesterfield,Missouri,us
turnebo01,Bob Turner,D,1934-01-31,Left,6-0,183,170,Regina,Saskatchewan,ca
turnebr01,Brad Turner,D,1968-05-25,Right,6-2,188,205,Winnipeg,Manitoba,ca
turnebr02,Brennan Turner,D,1986-12-05,,,,,,,
turnede01,Dean Turner,D,1958-06-22,Left,6-2,188,215,Dearborn,Michigan,us
turnejo01,Joe Turner,G,1919-03-28,,5-10,178,182,Windsor,Ontario,ca
turonda01,David Turon,D,1983-10-04,,,,,,,
turplda01,Dan Turple,G,1985-01-01,,,,,,,
turriky01,Kyle Turris,C,1989-08-14,Right,6-1,185,190,,,
tustino01,Norm Tustin,LW,1919-01-03,Left,5-11,180,175,Regina,Saskatchewan,ca
tutenau01,Aud Tuten,D,1914-01-14,Left,5-10,178,180,Enterprise,Alabama,us
tuttbr01,Brian Tutt,D,1962-06-09,Left,6-1,185,195,Swalwell,Alberta,ca
tuttlst01,Steve Tuttle,RW,1966-01-05,Right,6-1,185,197,,,
tuuloee01,Eetu Tuulola,RW,1998-03-17,Right,,,,,,
tuulojo01,Joni Tuulola,D,1996-01-01,Left,6-3,190,180,Hameenlinna,Finland,fi
tuzzoni01,Nick Tuzzolino,D,1986-01-19,Right,6-6,198,225,,,
tuzzoto01,Tony Tuzzolino,RW,1975-10-09,Right,6-2,188,208,,,
tverbry01,Ryan Tverberg,C,2002-01-30,Right,5-9,175,168,,,
tverdol01,Oleg Tverdovsky,D,1976-05-18,Left,6-1,185,211,Donetsk,USSR,su
tvrdoma01,Marek Tvrdon,RW,1993-01-31,Left,6-2,188,210,Nitra,Slovakia,sk
tvrdoro01,Roman Tvrdon,C,1981-01-29,Left,6-1,185,189,Trencin,Czechoslovakia,cs
twaryca01,Carsen Twarynski,F,1997-11-24,Left,6-2,188,198,Calgary,Canada,ca
twistto01,Tony Twist,LW,1968-05-09,Left,6-1,185,220,,,
tychojo01,Jonathan Tychonick,D,2000-03-03,Left,5-11,180,177,Calgary,Alberta,ca
tynant,T.J. Tynan,C,1992-02-25,Right,5-8,173,165,,,
tyrelda01,Dana Tyrell,C/RW,1989-04-23,Left,5-10,178,192,Airdrie,Alberta,ca
tyszkja01,Jarret Tyszka,D,1999-03-15,Left,6-2,188,190,,,
tyulymi01,Mikhail Tyulyapkin,D,1984-05-04,,,,,,,
tyutife01,Fedor Tyutin,D,1983-07-19,Left,6-2,188,221,Izhevsk,USSR,su
tyutyki01,Kirill Tyutyayev,LW,2000-08-08,Left,5-9,175,146,,,
tyznyse01,Sergei Tyznyk,,,,,,,,,
ubriage01,Gene Ubriaco,LW/C,1937-12-26,Left,5-8,173,157,,,
uchevvi01,Victor Uchevatov,D,1983-02-10,,,,,,,
uensza01,Zachary Uens,D,2001-05-13,Left,6-1,185,180,Belleville,Ontario,ca
uherdo01,Dominik Uher,C,1992-12-31,,6-1,185,199,Ostvava,Czechoslovakia,cs
ujcikvi01,Viktor Ujcik,RW,1972-05-24,,,,,,,
ulanoig01,Igor Ulanov,D,1969-10-01,Left,6-3,190,220,Krasnokamsk,USSR,su
ullmano01,Norm Ullman,C,1935-12-26,Left,5-10,178,175,Provost,Alberta,ca
ullmali01,Linus Ullmark,G,1993-07-31,,6-4,193,221,Lugnvik,Sweden,se
ullstda01,David Ullstrom,C,1989-04-22,Left,6-2,188,195,Jonkoping,Sweden,se
ullyco01,Cole Ully,LW,1995-02-20,Left,6-0,183,170,Calgary,Alberta,ca
ulmerje01,Jeff Ulmer,RW,1977-04-27,Right,5-11,180,195,Wilcox,Saskatchewan,ca
ulmerla01,Layne Ulmer,C,1980-09-14,Left,6-1,185,205,,,
umberrj01,R.J. Umberger,C,1982-05-03,Left,6-2,188,214,Pittsburgh,Pennsylvania,us
umicedr01,Dragan Umicevic,LW,1984-10-09,,,,,,,
underma01,Matt Underhill,G,1979-09-16,,6-2,188,195,,,
ungerga01,Garry Unger,C,1947-12-07,Left,5-11,180,170,Calgary,Alberta,ca
unicejo01,Josh Unice,G,1989-06-24,,,,,,,
upshasc01,Scottie Upshall,LW,1983-10-07,Left,6-0,183,200,,,
urbanvl01,Vladimir Urban,,,,,,,,,
urbomal01,Alexander Urbom,D,1990-12-20,Left,6-5,196,215,Stockholm,Sweden,se
urquhco01,Cory Urquhart,C,1984-10-01,,,,,,,
ustasma01,Matt Ustaski,C/LW,1994-05-27,Left,6-6,198,233,Glenview,Illinois,us
ustimki01,Kirill Ustimenko,G,1999-01-29,,,,,,,
ustorst01,Stefan Ustorf,C,1974-01-03,Left,6-0,183,195,Kaufbeuren,Germany,de
utkindm01,Dmitri Utkin,LW,1984-06-10,,,,,,,
utuneto01,Toni Utunen,D,2000-04-27,Left,5-10,178,169,Kokkola,Finland,fi
vaakaur01,Urho Vaakanainen,D,1999-01-01,Left,6-1,185,185,Joensuu,Finland,fi
vaanaos01,Ossi Vaananen,D,1980-08-18,Left,6-4,193,215,Vantaa,Finland,fi
vachoni01,Nick Vachon,C,1972-07-20,Left,5-10,178,185,Montreal,Quebec,ca
vachoro01,Rogie Vachon,G,1945-09-08,,5-7,170,170,Palmarolle,Quebec,ca
vadnaca01,Carol Vadnais,D,1945-09-25,Left,6-1,185,185,Montreal,Quebec,ca
vagnema01,Martin Vagner,D,1984-03-16,,,,,,,
vahatju01,Julius Vahatalo,LW,1995-03-23,Left,6-5,196,191,Vahto,Finland,fi
vaiclu01,Lubomir Vaic,C,1977-03-06,Left,5-9,175,178,,,
vailbr01,Brady Vail,C,1994-03-11,Left,6-0,183,194,,,
vailer01,Eric Vail,LW,1953-09-16,Left,6-1,185,220,Timmins,Ontario,ca
vailsp01,Sparky Vail,D/LW,1906-07-05,Left,6-0,183,185,Meaford,Ontario,ca
vainini01,Niko Vainio,D,1985-01-24,,,,,,,
vainive01,Veeti Vainio,D,1997-06-16,Right,6-2,188,169,Espoo,Finland,fi
vainomi01,Mikko Vainonen,D,1994-04-11,Left,6-3,190,222,Helsinki,Finland,fi
vaiveju01,Justin Vaive,LW,1989-07-08,Left,6-4,193,209,,,
vaiveri01,Rick Vaive,RW,1959-05-14,Right,6-1,185,198,Ottawa,Ontario,ca
valabbo01,Boris Valabik,D,1986-02-14,Left,6-7,201,245,Nitra,Czechoslovakia,cs
valcapa01,Patrik Valcak,C,1984-12-16,,,,,,,
valdian01,Andreas Valdix,LW,1984-12-06,,,,,,,
valeeig01,Igor Valeev,RW,1981-01-09,,,,,,,
valenmi01,Michal Valent,G,1986-03-05,,,,,,,
valenpa01,Pavel Valentenko,D,1987-10-20,,,,,,,
valench01,Chris Valentine,C,1961-12-06,Right,6-0,183,190,Belleville,Ontario,ca
valensc01,Scott Valentine,D,1991-05-02,,,,,,,
valicro01,Rob Valicevic,RW,1971-01-06,Right,6-1,185,198,Detroit,Michigan,us
valieri01,Rinat Valiev,D,1995-05-11,Left,6-3,190,215,,,
valimju01,Juuso Valimaki,D,1998-10-06,Left,6-2,188,212,Tampere,Finland,fi
valiqja01,Jack Valiquette,C,1954-03-18,Left,6-2,188,195,,,
valiqst01,Steve Valiquette,G,1977-08-20,,6-6,198,210,Etobicoke,Ontario,ca
valkcu01,Curtis Valk,LW,1993-02-08,Left,5-9,175,166,,,
valkga01,Garry Valk,RW,1967-11-27,Left,6-1,185,200,Edmonton,Alberta,ca
vallagi01,Giovanni Vallati,D,2000-02-21,Left,6-1,185,176,Ottawa,Ontario,ca
vallili01,Lindsay Vallis,D,1971-01-12,Right,6-3,190,207,Winnipeg,Manitoba,ca
vanalsh01,Shaun Van Allen,C,1967-08-29,Left,6-1,185,205,Calgary,Alberta,ca
vanbojo01,John Van Boxmeer,D,1952-11-20,Right,6-0,183,190,Petrolia,Ontario,ca
vanbrbr01,Bryce Van Brabant,LW,1991-11-12,Left,6-2,188,205,Morinville,Alberta,ca
vandeda01,David Van Der Gulik,RW,1983-04-20,Left,5-10,178,173,,,
vandowa01,Wayne Van Dorp,LW,1961-05-19,Left,6-4,193,225,,,
vandrda01,David Van Drunen,D,1976-01-31,Right,6-0,183,204,,,
vanguma01,Mark Van Guilder,C,1984-01-17,,6-1,185,186,,,
vanhoje01,Jeremy Van Hoof,D,1981-08-12,,,,,,,
vanhojo01,John Van Horlick,D,1949-02-19,Left,6-0,183,190,,,
vanimda01,Darren Van Impe,D,1973-05-18,Left,6-1,185,205,Saskatoon,Saskatchewan,ca
vanimed01,Ed Van Impe,D,1940-05-27,Left,5-10,178,205,Saskatoon,Saskatchewan,ca
vanpojo01,Joren Van Pottelberghe,G,1997-06-05,,6-2,188,187,Zug,Switzerland,ch
vanrija01,James van Riemsdyk,LW,1989-05-04,Left,6-3,190,217,,,
vanritr01,Trevor van Riemsdyk,D,1991-07-24,Right,6-2,188,192,,,
vanrymi01,Mike Van Ryn,D,1979-05-14,Right,6-1,185,213,London,Ontario,ca
vanbijo01,John Vanbiesbrouck,G,1963-09-04,,5-8,173,176,Detroit,Michigan,us
vancetr01,Troy Vance,D,1993-08-02,,6-6,198,200,,,
vandemi01,Mitchell Vande Sompel,D,1997-02-11,Left,5-10,178,194,London,Ontario,ca
vandery01,Ryan VandenBussche,RW,1973-02-28,Right,6-0,183,200,Simcoe,Ontario,ca
vandeji01,Jim Vandermeer,D,1980-02-21,Left,6-1,185,210,Caroline,Alberta,ca
vandepe01,Peter Vandermeer,LW,1975-10-14,Left,6-0,183,209,Caroline,Alberta,ca
vandech01,Chris VandeVelde,C,1987-03-15,Left,6-2,188,190,Moorhead,Minnesota,us
vanecvi01,Vitek Vanecek,G,1996-01-09,,6-1,185,190,,,
vanekth01,Thomas Vanek,LW,1984-01-19,Right,6-2,188,214,Vienna,Austria,at
vanieal01,Alexis Vanier,D,1995-12-21,,6-4,193,210,,,
vannemi01,Michael Vannelli,D,1983-10-02,,,,,,,
vanneth01,Thomas Vannelli,D,1995-01-26,Right,6-2,188,165,Minnetonka,Minnesota,us
vantulu01,Lukas Vantuch,RW,1987-07-20,,,,,,,
varadva01,Vaclav Varada,RW,1976-04-26,Left,6-0,183,208,Vsetin,Czechoslovakia,cs
varispe01,Petri Varis,LW,1969-05-13,Left,6-1,185,200,Varkaus,Finland,fi
varlasi01,Semyon Varlamov,G,1988-04-27,,6-2,188,215,Samara,USSR,su
varlase01,Sergei Varlamov,LW,1978-07-21,Left,5-11,180,203,Kiev,USSR,su
varonph01,Phil Varone,C,1990-12-04,Left,5-10,178,183,Vaughan,Ontario,ca
varvija01,Jarkko Varvio,RW,1972-04-28,Right,5-9,175,175,Tampere,Finland,fi
vasja01,Janos Vas,LW,1984-01-29,,,,,,,
vasicjo01,Josef Vasicek,C,1980-09-12,Left,6-5,196,214,,,
vasilal01,Alexander Vasilevski,RW,1975-01-08,Left,5-11,180,190,Kiev,USSR,su
vasilan03,Andrei Vasilevski,G,1994-07-25,,6-4,193,210,,,
vasilan02,Andrei Vasilevskiy,G,1994-07-25,,6-3,190,207,,,
vasilal02,Alexei Vasiliev,D,1977-09-01,Left,6-1,185,192,Yaroslavl,USSR,su
vasilva01,Valeri Vasiliev,D,1994-05-31,,6-1,185,203,,,
vasilhe01,Herbert Vasiljevs,RW,1976-05-27,Right,5-11,180,180,Riga,USSR,su
vasilmi01,Mikhail Vasilnok,G,,,,,,,,
vasilan01,Andrei Vasilyev,LW,1972-03-30,Right,5-9,175,180,Voskresensk,USSR,su
vaskede01,Dennis Vaske,D,1967-10-11,Left,6-2,188,210,Rockford,Illinois,us
vaskomo01,Moose Vasko,D,1935-12-11,Left,6-2,188,200,Duparquet,Quebec,ca
vaskori01,Rick Vasko,D,1957-01-12,Left,6-0,183,185,,,
vasyual01,Alexander Vasyunov,LW,1988-04-22,Right,6-1,185,205,Yaroslavl,USSR,su
vatansa01,Sami Vatanen,D,1991-06-03,Right,5-10,178,185,Jyvaskyla,Finland,fi
vatrafr01,Frank Vatrano,LW,1994-03-14,Left,5-11,180,197,,,
vauclju01,Julien Vauclair,D,1979-10-02,Left,6-0,183,205,Delemont,Switzerland,ch
vautoyv01,Yvon Vautour,RW,1956-09-10,Right,6-0,183,200,,,
vavrajo01,Josef Vavra,LW,1984-03-17,,,,,,,
vaydigr01,Greg Vaydik,C,1955-10-09,Left,6-1,185,190,,,
vecchmi01,Mike Vecchione,RW,1993-02-25,Right,5-10,178,203,Saugus,Massachusetts,us
vehvive01,Veini Vehvilainen,G,1997-02-13,Right,,,,,,
veillke01,Keven Veilleux,C,1989-06-27,,,,,,,
veillst01,Stephane Veilleux,LW,1981-11-16,Left,6-1,185,200,Beauceville,Quebec,ca
veillto01,Tommy Veilleux,LW,1995-05-07,,,,,,,
veillya01,Yannick Veilleux,LW,1993-02-22,Left,6-2,188,206,,,
veisomi01,Mike Veisor,G,1952-08-25,,5-9,175,160,Toronto,Ontario,ca
veitcda01,Darren Veitch,D,1960-04-24,Right,5-11,180,195,Saskatoon,Saskatchewan,ca
vejdelu01,Lukas Vejdemo,C,1996-01-25,Left,6-2,188,194,Stockholm,Sweden,se
vejmeka01,Karel Vejmelka,G,1996-05-25,,6-3,190,202,,,
velama01,Marcus Vela,C,1997-03-03,Right,6-0,183,204,,,
velenjo01,Joseph Veleno,C,2000-01-13,Left,6-1,185,191,Montreal,Quebec,ca
velisal01,Alex Velischek,D,1990-12-17,,,,,,,
velisra01,Randy Velischek,D,1962-02-10,Left,6-0,183,200,Montreal,Quebec,ca
vellumi01,Mike Vellucci,D,1966-08-11,Left,6-1,185,180,Farmington,Michigan,us
venasvi01,Vic Venasky,C,1951-03-06,Right,5-11,180,185,,,
venerga01,Gary Veneruzzo,W,1943-06-28,Left,5-8,173,165,,,
verbepa01,Pat Verbeek,RW,1964-05-24,Right,5-9,175,192,Sarnia,Ontario,ca
verhaca01,Carter Verhaeghe,C,1995-08-14,Left,6-2,188,180,Toronto,Ontario,ca
vermean01,Antoine Vermette,C,1982-07-20,Left,6-1,185,197,,,
vermema01,Mark Vermette,RW,1967-10-03,Right,6-1,185,203,Cochenour,Ontario,ca
vermijo01,Joel Vermin,RW,1992-02-05,Left,5-11,180,192,Bern,Switzerland,ch
vernami01,Mike Vernace,D,1986-05-26,Left,6-0,183,216,Toronto,Ontario,ca
vernakr01,Kris Vernarsky,C,1982-04-05,Left,6-3,190,201,Detroit,Michigan,us
vernomi01,Mike Vernon,G,1963-02-24,,5-9,175,180,Calgary,Alberta,ca
veronma01,Max Veronneau,RW,1995-12-12,Right,6-0,183,190,Ottawa,Ontario,ca
verotda01,Darcy Verot,LW,1976-07-13,Left,6-0,183,199,Radville,Saskatchewan,ca
verrecl01,Claude Verret,C,1963-04-20,Left,5-9,175,165,Lachine,Quebec,ca
verstkr01,Kris Versteeg,RW,1986-05-13,Right,5-11,180,176,Lethbridge,Alberta,ca
verstle01,Leigh Verstraete,RW,1962-01-06,Right,5-11,180,185,,,
vervede01,Dennis Ververgaert,RW,1953-03-30,Right,6-0,183,185,Hamilton,Ontario,ca
vesalkr01,Kristian Vesalainen,W,1999-06-01,Left,6-3,190,207,Helsinki,Finland,fi
vescery01,Ryan Vesce,C,1982-04-07,Right,5-8,173,175,,,
veselty01,Tyler Vesel,C,1994-04-14,Right,5-11,180,182,Duluth,Minnesota,us
veseyji01,Jim Vesey,C/RW,1965-09-29,Right,6-1,185,202,Charlestown,Massachusetts,us
veseyji02,Jimmy Vesey,LW,1993-05-26,Left,6-3,190,199,Boston,Massachusetts,us
veseyno01,Nolan Vesey,LW,1995-03-28,Left,6-0,183,211,,,
veyli01,Linden Vey,RW,1991-07-17,Right,6-0,183,189,Wakaw,Saskatchewan,ca
veysesi01,Sid Veysey,C,1955-07-30,Left,5-11,180,175,,,
vezinge01,Georges Vezina,G,1887-01-21,,5-6,168,185,Chicoutimi,Quebec,ca
vialde01,Dennis Vial,D/LW,1969-04-10,Left,6-1,185,220,,,
viaupi01,Pierre Viau,D,1952-01-29,Left,6-2,188,185,Montreal,Quebec,ca
vickest01,Steve Vickers,LW,1951-04-21,Left,6-0,183,180,Toronto,Ontario,ca
videlli01,Linus Videll,LW,1985-05-05,,,,,,,
viedema01,Marek Viedensky,C,1990-08-18,,,,,,,
vielje01,Jeffrey Viel,F,1997-01-28,Left,6-2,188,205,,,
viennju01,Justin Vienneau,D,1986-02-20,,,,,,,
vienma01,Mario Viens,G,1955-08-07,,5-7,170,150,Cornwall,Ontario,ca
vierlev01,Evan Vierling,C,2002-06-20,Left,6-0,183,167,Aurora,Ontario,ca
vigiejp01,J.P. Vigier,RW,1976-09-11,Right,6-0,183,200,,,
vigneal01,Alain Vigneault,D,1961-05-14,Right,5-11,180,195,,,
vihkojo01,Joonas Vihko,C,1981-04-06,,,,,,,
viitave01,Vesa Viitakoski,LW,1971-02-13,Left,6-3,190,215,Lappeenranta,Finland,fi
viitami01,Mikko Viitanen,D,1982-02-18,,,,,,,
